username,phone,email,verified,first_name,last_name,address,city,created_at,last_login_at
k1mberly,(669) 960-0110,kimberly.davis02@gmail.com,FALSE,Kimberly,Davis,"410 Campus Way, Apt 3B","Santa Clara, CA",2/8/2023,2/8/2023 19:24
willieh,(408) 288-0131,will.harvey@icloud.com,TRUE,Willie,Harvey,"410 Campus Way, Apt 3B","Santa Clara, CA",2/9/2023,2/9/2023 23:18
kimdubois,(650) 998-0130,kimberly.dubois60@gmail.com,FALSE,Kimberly,Dubois,"410 Campus Way, Apt 3B","Santa Clara, CA",2/9/2023,2/9/2023 17:49
MayaC23,408-274-6103,mayachen23@gmail.com,TRUE,Maya,Chen,"418 S 7th St, Apt 2","San Jose, CA",3/3/2023 21:04,3/17/2023
liam_o,408-391-7284,liam.ortiz03@outlook.com,TRUE,Liam,Ortiz,"418 S 7th St, Apt 3","San Jose, CA",3/3/2023 21:04,3/4/2023
niniPatel,669-248-9031,ninapatel17@gmail.com,TRUE,Nina,Patel,"418 S 7th St, Apt 2","San Jose, CA",3/3/2023 21:05,4/22/2023
EBrooks_99,408-612-4470,ethan.brooks99@yahoo.com,TRUE,Ethan,Brooks,"418 S 7th St, Apt 3","San Jose, CA",3/3/2023 21:05,3/3/2023
sofi_a,408-337-1826,sofia.alvarez8@icloud.com,TRUE,Sofia,Alvarez,95 E William St,"San Jose, CA",3/3/2023 21:08,4/11/2023
n0ahk,669-410-7365,noah.kim21@gmail.com,TRUE,Noah,Kim,95 E William St,"San Jose, CA",3/3/2023 21:08,3/8/2023
avocadoAva,408-520-2948,avaj.moves@outlook.com,TRUE,Ava,Johnson,95 E William St,"San Jose, CA",3/3/2023 21:09,5/6/2023
MarcLee7,408-289-6614,marcus.lee7@gmail.com,TRUE,Marcus,Lee,"233 S 10th St, Apt 5","San Jose, CA",3/3/2023 21:12,3/19/2023
elenaR,669-363-8502,elena.rossi@proton.me,TRUE,Elena,Rossi,"233 S 10th St, Apt 5","San Jose, CA",3/3/2023 21:13,3/12/2023
dieg0m,408-742-1935,diegomartin44@gmail.com,TRUE,Diego,Martin,"233 S 10th St, Apt 6","San Jose, CA",3/3/2023 21:13,3/4/2023
ZeeWilliams,408-391-7285,zoe.williams22@icloud.com,TRUE,Zoe,Williams,"233 S 10th St, Apt 6","San Jose, CA",3/3/2023 21:13,9/29/2023
sam_shah,669-248-9032,samirshah.dev@gmail.com,TRUE,Samir,Shah,711 E Reed St,"San Jose, CA",3/3/2023 21:19,3/15/2023
liv_turner,408-612-4471,oliviaturner13@yahoo.com,TRUE,Olivia,Turner,711 E Reed St,"San Jose, CA",3/3/2023 21:19,3/5/2023
JNG_2002,408-337-1827,jordan.ng02@outlook.com,TRUE,Jordan,Ng,711 E Reed St,"San Jose, CA",3/3/2023 21:20,3/3/2023
LuckyLucas,669-410-7366,lucas.romero9@gmail.com,TRUE,Lucas,Romero,"184 N 6th St, Apt 8","San Jose, CA",3/3/2023 21:26,3/21/2023
hanncho,408-520-2949,hannahcho@icloud.com,TRUE,Hannah,Cho,"184 N 6th St, Apt 8","San Jose, CA",3/3/2023 21:27,4/14/2023
calebW03,408-289-6615,caleb.wright03@gmail.com,TRUE,Caleb,Wright,"184 N 6th St, Apt 9","San Jose, CA",3/3/2023 21:27,3/9/2023
PriD,669-363-8503,priya.desai11@outlook.com,TRUE,Priya,Desai,"184 N 6th St, Apt 9","San Jose, CA",3/3/2023 21:27,5/7/2023
aaronBoi,408-742-1936,aaronbell98@gmail.com,TRUE,Aaron,Bell,62 Delmas Ave,"San Jose, CA",3/3/2023 21:34,3/4/2023
LeilaM,408-429-8751,leila.morgan@yahoo.com,TRUE,Leila,Morgan,62 Delmas Ave,"San Jose, CA",3/3/2023 21:34,3/18/2023
ben_gray,NULL,benoit.gray@outlook.com,FALSE,Benoit,Gray,NULL,"San Jose, CA",3/3/2023 21:41,NULL
rachelxoxo,669-275-9618,rachel.xu27@gmail.com,FALSE,Rachel,Xu,NULL,"San Jose, CA",3/3/2023 21:44,3/3/2023
isaG03,669-421-7836,isabelgarcia03@gmail.com,TRUE,Isabel,Garcia,"846 Benton St, Apt 4","Santa Clara, CA",3/3/2023 21:51,3/26/2023
MurphTheMan,408-638-2054,owen.murphy@icloud.com,TRUE,Owen,Murphy,"846 Benton St, Apt 4","Santa Clara, CA",3/3/2023 21:51,3/4/2023
fati_h,669-309-5742,fatima.hassan21@outlook.com,TRUE,Fatima,Hassan,"846 Benton St, Apt 5","Santa Clara, CA",3/3/2023 21:51,5/11/2023
tommyV2,NULL,NULL,FALSE,Tommy,Vega,"846 Benton St, Apt 5","Santa Clara, CA",3/3/2023 21:52,NULL
kat_attack,408-562-8397,katie.hughes18@gmail.com,FALSE,Katie,Hughes,NULL,"Santa Clara, CA",3/3/2023 21:58,3/3/2023
APark_01,650-327-6148,adrian.park01@gmail.com,TRUE,Adrian,Park,327 Pine Ln,"Los Altos, CA",3/3/2023 22:06,4/2/2023
milesAway,650-468-2093,milesfoster@outlook.com,FALSE,Miles,Foster,327 Pine Ln,"Los Altos, CA",3/3/2023 22:06,3/3/2023
skyl4r27,NULL,skylar27@proton.me,FALSE,NULL,NULL,NULL,"Los Altos, CA",3/3/2023 22:12,NULL
clara_morris,408-315-4827,clara.morris83@gmail.com,TRUE,Clara,Morris,"521 Hope St, Apt 4","Mountain View, CA",4/11/2023 9:18,5/6/2023
JulesCraft,650-274-9136,jules.bennett@icloud.com,TRUE,Jules,Bennett,"1180 Castro St, Apt 2","Mountain View, CA",4/11/2023 9:26,5/6/2023
priyaK84,669-438-2605,priya.kapoor84@gmail.com,TRUE,Priya,Kapoor,1847 Benton St,"Santa Clara, CA",4/11/2023 9:41,4/13/2023
westonlee,650-362-7041,weston.lee91@outlook.com,TRUE,Weston,Lee,"733 Emerson St, Apt 5","Palo Alto, CA",4/11/2023 10:07,5/7/2023
emilyMakes,408-527-3819,emily.hart.design@gmail.com,TRUE,Emily,Hart,246 Monroe St,"Santa Clara, CA",4/11/2023 10:29,4/11/2023
luis_mz,669-214-8653,luis.mendez73@yahoo.com,TRUE,Luis,Mendez,"906 Market St, Apt 7","San Jose, CA",4/11/2023 11:03,5/6/2023
NoraBell,650-483-1907,nora.bell@proton.me,TRUE,Nora,Bell,1448 Dana St,"Mountain View, CA",4/11/2023 11:18,4/28/2023
theo_r,408-396-5218,theodore.ross21@gmail.com,FALSE,Theodore,Ross,"615 Harrison St, Apt 3","Santa Clara, CA",4/11/2023 11:47,4/11/2023
minaSJSU,408-725-3140,mina.alavi02@gmail.com,TRUE,Mina,Alavi,"212 S 8th St, Apt 4","San Jose, CA",4/11/2023 18:12,5/6/2023
kev_o,669-352-7804,kevin.oconnor02@outlook.com,TRUE,Kevin,OConnor,"212 S 8th St, Apt 4","San Jose, CA",4/11/2023 18:13,4/12/2023
daniSantos,408-612-9037,daniela.santos22@gmail.com,TRUE,Daniela,Santos,"212 S 8th St, Apt 4","San Jose, CA",4/11/2023 18:14,5/6/2023
BryceH21,408-347-2195,bryce.henderson21@yahoo.com,TRUE,Bryce,Henderson,"927 E San Fernando St, Apt 2","San Jose, CA",4/11/2023 18:28,4/14/2023
anikap,669-481-6372,anika.patel02@gmail.com,TRUE,Anika,Patel,"927 E San Fernando St, Apt 2","San Jose, CA",4/11/2023 18:29,5/6/2023
joshuaC,NULL,joshua.coleman21@outlook.com,FALSE,Joshua,Coleman,"927 E San Fernando St, Apt 2","San Jose, CA",4/11/2023 18:30,NULL
tess_m,408-295-8461,tessa.morgan@icloud.com,TRUE,Tessa,Morgan,"927 E San Fernando St, Apt 2","San Jose, CA",4/11/2023 18:30,4/12/2023
rafaV,669-530-1928,rafael.vega97@gmail.com,TRUE,Rafael,Vega,"744 W Washington Ave, Apt 6","Sunnyvale, CA",4/12/2023 8:46,5/6/2023
lucyng,408-418-7502,lucy.ng.art@gmail.com,TRUE,Lucy,Ng,"744 W Washington Ave, Apt 6","Sunnyvale, CA",4/12/2023 8:47,4/19/2023
cameron88,408-367-2849,cameron.bishop88@outlook.com,TRUE,Cameron,Bishop,"744 W Washington Ave, Apt 6","Sunnyvale, CA",4/12/2023 8:48,5/8/2023
bee_huang,650-295-6308,beatrice.huang@gmail.com,TRUE,Beatrice,Huang,"151 Calderon Ave, Apt 3","Mountain View, CA",4/12/2023 9:21,5/6/2023
milesj,650-481-7356,miles.jensen@icloud.com,TRUE,Miles,Jensen,"151 Calderon Ave, Apt 3","Mountain View, CA",4/12/2023 9:22,4/12/2023
rosalie_art,408-572-4109,rosalie.foster.art@gmail.com,TRUE,Rosalie,Foster,"389 N 3rd St, Apt 5","San Jose, CA",4/13/2023 10:05,5/6/2023
DerekP,669-318-9674,derek.palmer94@yahoo.com,TRUE,Derek,Palmer,"389 N 3rd St, Apt 5","San Jose, CA",4/13/2023 10:06,4/17/2023
mina_kim,408-743-5082,mina.kim04@outlook.com,FALSE,Mina,Kim,"680 E Julian St, Apt 8","San Jose, CA",4/13/2023 10:18,4/13/2023
harperQ,650-396-8215,harper.quinn@gmail.com,TRUE,Harper,Quinn,924 Church St,"Palo Alto, CA",4/13/2023 11:42,5/7/2023
gvargas,669-287-4530,gabriela.vargas89@gmail.com,TRUE,Gabriela,Vargas,"370 Park Ave, Apt 11","San Jose, CA",4/13/2023 12:03,5/6/2023
artDad42,408-629-1457,martin.cole42@yahoo.com,TRUE,Martin,Cole,1635 Fremont St,"Santa Clara, CA",4/14/2023 13:27,5/6/2023
SashaN,650-274-6083,sasha.novak@proton.me,TRUE,Sasha,Novak,"802 Villa St, Apt 6","Mountain View, CA",4/14/2023 14:11,4/23/2023
julio_est,408-517-3906,julio.estrada76@gmail.com,TRUE,Julio,Estrada,531 Reed St,"San Jose, CA",4/14/2023 15:38,5/6/2023
naomi_w,669-452-1786,naomi.wells91@outlook.com,FALSE,Naomi,Wells,NULL,"Sunnyvale, CA",4/14/2023 16:02,NULL
RowanFields,650-318-7254,rowan.fields@icloud.com,TRUE,Rowan,Fields,"1140 Waverley St, Apt 2","Palo Alto, CA",4/15/2023 9:17,4/15/2023
TheCollector,408-285-6419,edmund.price77@gmail.com,TRUE,Edmund,Price,"2025 The Alameda, Apt 8","San Jose, CA",4/15/2023 12:26,5/6/2023
steph_liu,669-347-9205,stephanie.liu88@gmail.com,TRUE,Stephanie,Liu,"1050 Kiely Blvd, Apt 12","Santa Clara, CA",4/15/2023 13:51,5/10/2023
tomas.reyes,408-593-2741,tomas.reyes90@outlook.com,TRUE,Tomas,Reyes,"673 Auzerais Ave, Apt 4","San Jose, CA",4/15/2023 17:29,4/18/2023
lea_m,650-427-8163,lea.martin.art@gmail.com,TRUE,Lea,Martin,"945 High St, Apt 3","Palo Alto, CA",4/16/2023 10:08,5/6/2023
BenjiStone,408-371-6548,benjamin.stone95@gmail.com,FALSE,Benjamin,Stone,"1528 Franklin St, Apt 9","Santa Clara, CA",4/16/2023 20:17,NULL
aidengoeswest,408-703-7192,aiden.adams@hotmail.com,TRUE,Aiden,Adams,"167 Lawrence Station Rd, Apt 6","Santa Clara, CA",5/6/2023 8:34,5/6/2023
bellx61,669-554-3299,bella75@outlook.com,TRUE,Bella,Baker,"167 Lawrence Station Rd, Apt 6","Santa Clara, CA",5/6/2023 8:34,11/19/2023
carlos.castillo,669-279-2622,carlos.castillo@yahoo.com,TRUE,Carlos,Castillo,"167 Lawrence Station Rd, Apt 6","Santa Clara, CA",5/6/2023 8:39,5/6/2023
daphne.dawson,408-522-4676,dapdaws92@proton.me,FALSE,Daphne,Dawson,"2377 Alameda Way, Apt 19","San Jose, CA",5/6/2023 9:27,5/6/2023
eli1992,408-619-8249,eli.ellis@yahoo.com,TRUE,Eli,Ellis,"2377 Alameda Way, Apt 19","San Jose, CA",5/6/2023 9:31,5/30/2023
ffischer,408-296-4751,freya70@hotmail.com,TRUE,Freya,Fischer,"2377 Alameda Way, Apt 19","San Jose, CA",5/6/2023 11:05,5/17/2023
GavinG4,650-545-7801,gavgarc96@hotmail.com,TRUE,Gavin,Garcia,1511 Maple Terrace,"Los Altos, CA",5/6/2023 11:07,5/6/2023
hazel_hughes,650-265-7452,hazel.hughes6@icloud.com,TRUE,Hazel,Hughes,1511 Maple Terrace,"Los Altos, CA",5/6/2023 11:21,6/16/2023
itoI,650-330-8184,isaito92@icloud.com,TRUE,Isaac,Ito,1511 Maple Terrace,"Los Altos, CA",5/6/2023 12:47,5/6/2023
jasminegoeswest,NULL,jasmine.jordan4@outlook.com,FALSE,Jasmine,Jordan,2319 Rose Garden Ln,"Sunnyvale, CA",5/6/2023 13:03,NULL
kai1991,408-570-9877,kai19@outlook.com,TRUE,Kai,Kim,2319 Rose Garden Ln,"Sunnyvale, CA",5/6/2023 13:39,5/16/2023
llopez,408-362-7968,llopez@gmail.com,TRUE,Lena,Lopez,2319 Rose Garden Ln,"Sunnyvale, CA",5/6/2023 13:39,5/10/2023
mateogoeswest,650-595-5843,mateo98@icloud.com,TRUE,Mateo,Miller,"1499 Parkside Ave, Apt 6","Palo Alto, CA",5/6/2023 14:38,5/19/2023
NoraN8,650-315-2892,nora90@yahoo.com,TRUE,Nora,Nguyen,"1499 Parkside Ave, Apt 6","Palo Alto, CA",5/6/2023 14:48,5/6/2023
omar.owens,650-357-4132,omar.owens2@yahoo.com,TRUE,Omar,Owens,"1499 Parkside Ave, Apt 6","Palo Alto, CA",5/6/2023 15:05,5/17/2023
pip2002,669-301-7923,piper.price3@icloud.com,FALSE,Piper,Price,"365 Franklin Ct, Apt 16","Santa Clara, CA",5/6/2023 15:20,5/6/2023
quentingoeswest,669-214-1610,quequin98@yahoo.com,TRUE,Quentin,Quinn,"365 Franklin Ct, Apt 16","Santa Clara, CA",5/6/2023 15:26,5/6/2023
rinar57,669-788-2077,rina.rivera8@gmail.com,TRUE,Rina,Rivera,"365 Franklin Ct, Apt 16","Santa Clara, CA",5/6/2023 15:52,6/20/2023
sebastian_singh,408-354-8030,ssingh@outlook.com,TRUE,Sebastian,Singh,575 Willow Bend Ln,"San Jose, CA",5/6/2023 16:39,10/23/2023
talia_taylor,408-824-5878,talia.taylor@hotmail.com,TRUE,Talia,Taylor,575 Willow Bend Ln,"San Jose, CA",5/6/2023 16:50,5/15/2023
uusher,408-538-5121,uri.usher@yahoo.com,TRUE,Uri,Usher,575 Willow Bend Ln,"San Jose, CA",5/6/2023 16:57,5/16/2023
violet_vasquez,650-632-7243,violet.vasquez@proton.me,TRUE,Violet,Vasquez,"969 Benton St, Apt 13","Palo Alto, CA",5/6/2023 17:16,11/19/2023
wyattw7,650-261-8429,wyatt.walker5@yahoo.com,TRUE,Wyatt,Walker,"969 Benton St, Apt 13","Palo Alto, CA",5/6/2023 17:35,11/19/2023
xxu,650-480-3553,ximxu93@yahoo.com,TRUE,Ximena,Xu,"969 Benton St, Apt 13","Palo Alto, CA",5/6/2023 20:51,5/6/2023
yarax43,669-397-5344,yara22@hotmail.com,TRUE,Yara,Young,1911 Moorpark Ave,"Santa Clara, CA",5/6/2023 21:09,5/16/2023
zane_zimmerman,408-511-4072,zanzimm95@hotmail.com,TRUE,Zane,Zimmerman,1911 Moorpark Ave,"Santa Clara, CA",5/6/2023 21:17,5/6/2023
amelia_art,408-711-4559,amelia.anderson@yahoo.com,TRUE,Amelia,Anderson,1911 Moorpark Ave,"Santa Clara, CA",5/6/2023 21:22,6/13/2023
blakeb85,408-714-6809,NULL,FALSE,Blake,Brooks,"1672 Emerson St, Apt 16","Santa Clara, CA",5/6/2023 21:48,5/6/2023
celinegoeswest,669-811-3291,celine.carter@gmail.com,TRUE,Celine,Carter,"1672 Emerson St, Apt 16","Santa Clara, CA",5/6/2023 22:21,5/11/2023
devond30,408-696-2173,devon.diaz@hotmail.com,TRUE,Devon,Diaz,"1672 Emerson St, Apt 16","Santa Clara, CA",5/6/2023 22:24,5/20/2023
eevans,650-860-1932,eevans@hotmail.com,TRUE,Elise,Evans,"2133 Parkside Ave, Apt 6","Mountain View, CA",5/7/2023 8:41,5/15/2023
felix_flores,650-715-4277,felix.flores@icloud.com,TRUE,Felix,Flores,"2133 Parkside Ave, Apt 6","Mountain View, CA",5/7/2023 9:23,11/19/2023
GiaG3,650-670-9531,giagree91@proton.me,TRUE,Gia,Green,"1078 Mission Park Dr, Apt 16","Los Altos, CA",5/7/2023 9:25,9/30/2023
holden_hall,650-391-6216,holhall95@yahoo.com,TRUE,Holden,Hall,"1078 Mission Park Dr, Apt 16","Los Altos, CA",5/7/2023 10:26,5/7/2023
iris_art,408-420-4708,iris31@yahoo.com,FALSE,Iris,Ingram,1923 Market St,"Santa Clara, CA",5/7/2023 12:11,NULL
jonah.jenkins,408-548-1111,jonah.jenkins8@proton.me,TRUE,Jonah,Jenkins,1923 Market St,"Santa Clara, CA",5/7/2023 12:40,7/27/2023
keiragoeswest,510-742-5432,keikaur96@outlook.com,TRUE,Keira,Kaur,2108 Camino Real,"Fremont, CA",5/7/2023 12:49,5/11/2023
lewisL,510-488-6361,leo.lewis@hotmail.com,TRUE,Leo,Lewis,2108 Camino Real,"Fremont, CA",5/7/2023 15:33,5/10/2023
milam50,650-721-1153,milmitc96@outlook.com,TRUE,Mila,Mitchell,"2047 Waverley St, Apt 15","Los Altos, CA",5/7/2023 16:13,11/19/2023
nico_art,650-382-7262,nico.navarro3@outlook.com,TRUE,Nico,Navarro,"2047 Waverley St, Apt 15","Los Altos, CA",5/7/2023 17:21,9/27/2023
opa2000,650-805-8229,opal.ortiz7@gmail.com,TRUE,Opal,Ortiz,1656 University Way,"Los Altos, CA",5/7/2023 17:46,9/18/2023
parker_perry,650-467-9829,pperry@gmail.com,TRUE,Parker,Perry,1656 University Way,"Los Altos, CA",5/7/2023 18:44,5/11/2023
reesx47,669-663-4455,rreed@proton.me,TRUE,Reese,Reed,628 Lincoln Ave,"Sunnyvale, CA",5/7/2023 18:50,6/20/2023
sorens84,408-492-2364,soren.sullivan@hotmail.com,TRUE,Soren,Sullivan,628 Lincoln Ave,"Sunnyvale, CA",5/7/2023 20:22,5/18/2023
tarax19,510-705-3081,tthomas@outlook.com,TRUE,Tara,Thomas,2209 Camino Real,"Fremont, CA",5/7/2023 21:02,11/19/2023
underwoodU,510-443-7557,uma78@hotmail.com,TRUE,Uma,Underwood,2209 Camino Real,"Fremont, CA",5/7/2023 21:46,11/19/2023
victor_art,669-596-9275,victor.valdez3@proton.me,TRUE,Victor,Valdez,2420 Hamilton Ave,"Sunnyvale, CA",5/7/2023 21:47,11/19/2023
wendy.white,408-334-6112,wendy.white2@outlook.com,TRUE,Wendy,White,2420 Hamilton Ave,"Sunnyvale, CA",5/7/2023 21:56,11/19/2023
xavier_yoon,650-591-2670,xavier.yoon5@yahoo.com,FALSE,NULL,Yoon,"2173 Camino Real, Apt 12","Mountain View, CA",5/7/2023 22:12,NULL
yasminz69,650-777-3314,yasmin.zhang7@hotmail.com,FALSE,Yasmin,Zhang,"2173 Camino Real, Apt 12","Mountain View, CA",5/7/2023 22:33,NULL
zac1995,669-796-6205,zacalva94@yahoo.com,TRUE,Zachary,Alvarez,"2237 Maple Terrace, Apt 22","Santa Clara, CA",5/8/2023 8:19,5/20/2023
ari2000,650-509-5682,ari.bennett@proton.me,TRUE,Ari,Bennett,753 University Way,"Mountain View, CA",5/8/2023 8:23,5/8/2023
bia1993,669-781-9110,bianca.choi5@yahoo.com,TRUE,Bianca,Choi,"1137 Waverley St, Apt 2","Campbell, CA",5/8/2023 9:17,9/8/2023
donovanC,650-536-4014,cdonovan@proton.me,TRUE,Colin,Donovan,1991 Parkside Ave,"Los Altos, CA",5/8/2023 10:14,5/15/2023
deliae17,650-439-1491,delia22@icloud.com,TRUE,Delia,Edwards,2070 Lincoln Ave,"Mountain View, CA",5/8/2023 13:50,5/8/2023
emmett_franklin,408-378-6022,emmett.franklin3@yahoo.com,TRUE,Emmett,Franklin,116 Franklin Ct,"San Jose, CA",5/8/2023 14:00,9/26/2023
FarahG5,650-381-6045,fgupta@gmail.com,FALSE,Farah,Gupta,489 Castro St,"Mountain View, CA",5/8/2023 15:27,NULL
ghernandez,408-346-4489,ghernandez@yahoo.com,TRUE,Grant,Hernandez,1576 Franklin Ct,"Santa Clara, CA",5/8/2023 15:53,5/8/2023
heidi.irwin,510-877-4937,heidi85@gmail.com,TRUE,Heidi,Irwin,1524 Market St,"Fremont, CA",5/8/2023 16:19,10/3/2023
ijacobs,650-870-8649,ivan61@outlook.com,TRUE,Ivan,Jacobs,1114 Bascom Ave,"Palo Alto, CA",5/8/2023 16:53,5/8/2023
june.klein,408-848-6909,june28@proton.me,TRUE,June,Klein,835 Orchard View St,"Campbell, CA",5/8/2023 18:46,11/19/2023
kmartinez,408-672-9945,kieran66@proton.me,TRUE,Kieran,Martinez,"550 University Way, Apt 8","Santa Clara, CA",5/8/2023 18:55,5/8/2023
lila.nelson,510-553-6231,lilnels92@proton.me,TRUE,Lila,Nelson,1440 Moorpark Ave,"Fremont, CA",5/8/2023 20:17,5/8/2023
micah_olsen,650-434-5645,micah10@icloud.com,TRUE,Micah,Olsen,1690 Franklin Ct,"Palo Alto, CA",5/8/2023 20:22,5/9/2023
nadia_patel,408-537-5365,nadia.patel@hotmail.com,TRUE,Nadia,Patel,"2043 Parkside Ave, Apt 21","Sunnyvale, CA",5/9/2023 12:34,8/31/2023
OscarR2,408-640-1867,oscar.ramirez@gmail.com,TRUE,Oscar,Ramirez,"1397 Orchard View St, Apt 3","Campbell, CA",5/9/2023 14:09,5/9/2023
paige.scott,669-213-9223,paige.scott@proton.me,TRUE,Paige,Scott,"2282 Lincoln Ave, Apt 11","San Jose, CA",5/9/2023 14:58,7/9/2023
rafaelgoeswest,650-738-9960,rtran@hotmail.com,TRUE,Rafael,Tran,"1530 Castro St, Apt 16","Palo Alto, CA",5/9/2023 15:44,5/14/2023
selena.vega,510-254-8879,selena.vega7@icloud.com,TRUE,Selena,Vega,"507 Lawrence Station Rd, Apt 5","Fremont, CA",5/9/2023 16:27,5/9/2023
tristangoeswest,408-373-3958,twilliams@yahoo.com,TRUE,Tristan,Williams,2186 Lawrence Station Rd,"Campbell, CA",5/9/2023 17:35,9/3/2023
valeriea46,669-594-3439,valarch91@yahoo.com,TRUE,Valerie,Archer,1928 Orchard View St,"Sunnyvale, CA",5/9/2023 17:36,7/13/2023
wesley_bishop,408-702-5733,wbishop@outlook.com,TRUE,Wesley,Bishop,"1453 Rose Garden Ln, Apt 20","Campbell, CA",5/9/2023 20:28,5/23/2023
zoe_chen,650-501-9391,zoechen90@yahoo.com,FALSE,Zoe,NULL,"886 Cedar Grove Rd, Apt 17","Los Altos, CA",5/9/2023 21:45,NULL
douglasA,669-755-8677,anton.douglas@gmail.com,TRUE,Anton,Douglas,438 Riverview Dr,"Sunnyvale, CA",5/10/2023 9:16,10/16/2023
farrellB,510-315-1459,bria.farrell3@hotmail.com,TRUE,Bria,Farrell,430 Riverview Dr,"Fremont, CA",5/10/2023 9:40,5/22/2023
cgomez,650-372-9222,cedric.gomez@gmail.com,TRUE,Cedric,Gomez,1997 Homestead Rd,"Mountain View, CA",5/10/2023 10:42,5/11/2023
diana_howard,650-672-6499,dhoward@gmail.com,TRUE,Diana,Howard,114 Franklin Ct,"Mountain View, CA",5/10/2023 13:08,8/16/2023
evan_james,510-410-1435,evan.james7@proton.me,TRUE,Evan,James,"772 Franklin Ct, Apt 21","Fremont, CA",5/10/2023 15:50,5/12/2023
fiona_art,408-417-2661,fioknig97@gmail.com,FALSE,Fiona,Knight,"787 Dana St, Apt 2","San Jose, CA",5/10/2023 16:02,NULL
gideonl67,650-234-8477,gideon.lam@yahoo.com,TRUE,Gideon,Lam,337 Orchard View St,"Los Altos, CA",5/10/2023 22:55,5/10/2023
HollyM9,650-453-1245,holly.monroe@gmail.com,TRUE,Holly,Monroe,"470 Bascom Ave, Apt 21","Palo Alto, CA",5/11/2023 9:48,5/11/2023
inorris,510-443-2869,inorris@outlook.com,TRUE,Ian,Norris,1594 Bascom Ave,"Fremont, CA",5/11/2023 12:36,7/9/2023
jade.park,650-803-4255,jade.park7@outlook.com,FALSE,Jade,Park,"943 Mission Park Dr, Apt 9","Los Altos, CA",5/11/2023 14:39,NULL
kendallr46,650-598-3642,kendall.roberts@icloud.com,TRUE,Kendall,Roberts,1263 Hamilton Ave,"Los Altos, CA",5/11/2023 14:51,8/16/2023
LorenzoS5,408-385-3485,lorenzo.shah1@outlook.com,TRUE,Lorenzo,Shah,"402 Alameda Way, Apt 24","Santa Clara, CA",5/11/2023 15:07,5/23/2023
mara.turner,650-403-8387,mara.turner5@outlook.com,TRUE,Mara,Turner,1945 Emerson St,"Palo Alto, CA",5/12/2023 19:32,5/12/2023
neil_vaughn,408-228-9365,neil.vaughn@yahoo.com,TRUE,Neil,Vaughn,"326 Waverley St, Apt 2","Santa Clara, CA",5/12/2023 20:09,5/17/2023
olivx49,650-568-7560,olive.wilson@gmail.com,TRUE,Olive,Wilson,"1691 Homestead Rd, Apt 2","Palo Alto, CA",5/12/2023 20:31,8/3/2023
presx18,669-406-1258,preyu92@outlook.com,FALSE,Preston,Yu,NULL,"Sunnyvale, CA",5/12/2023 21:20,NULL
RosaZ7,408-696-7314,rosa.zamora@outlook.com,TRUE,Rosa,Zamora,"1236 Castro St, Apt 5","San Jose, CA",5/13/2023 9:21,5/26/2023
shanegoeswest,669-487-6103,shane.bell@hotmail.com,TRUE,Shane,Bell,"1593 Berryessa Rd, Apt 12","San Jose, CA",5/13/2023 11:46,5/13/2023
tessac47,669-874-9924,tessa22@gmail.com,TRUE,Tessa,Cole,"1519 Moorpark Ave, Apt 15","Sunnyvale, CA",5/13/2023 13:06,5/24/2023
