exp_id;amount;d_id;description;date;requested_by;approved_by;phase;phase_name;timeline_segment;expense_type;month;department_name;requester_name;approver_name
500050;315.00;4200;boxes for Northbridge;2023-04-11;NULL;NULL;1;Startup;first_partnership;logistics;2023-04;Logistics & Collections;NULL;NULL
500063;2605.00;4200;insurance quote consultation;2023-04-11;NULL;NULL;1;Startup;first_partnership;insurance;2023-04;Logistics & Collections;NULL;NULL
500041;115.00;4110;photographer for museum objects;2023-04-12;NULL;NULL;1;Startup;first_partnership;photography;2023-04;Provenance & Cataloguing;NULL;NULL
500066;217.41;4110;photographer for museum objects;2023-04-12;NULL;NULL;1;Startup;first_partnership;photography;2023-04;Provenance & Cataloguing;NULL;NULL
500055;80.00;3100;museum outreach travel;2023-04-17;NULL;NULL;1;Startup;first_partnership;travel_partnerships;2023-04;Seller Partnerships;NULL;NULL
500040;120.00;3100;museum outreach travel;2023-04-18;NULL;NULL;1;Startup;first_partnership;travel_partnerships;2023-04;Seller Partnerships;NULL;NULL
500058;605.00;4120;Northbridge condition assessment;2023-04-18;NULL;NULL;1;Startup;first_partnership;valuation;2023-04;Valuation & Condition;NULL;NULL
500059;546.44;4200;boxes for Northbridge;2023-04-18;NULL;NULL;1;Startup;first_partnership;logistics;2023-04;Logistics & Collections;NULL;NULL
500061;305.00;4200;insurance quote consultation;2023-04-18;NULL;NULL;1;Startup;first_partnership;insurance;2023-04;Logistics & Collections;NULL;NULL
500062;1830.00;5100;lawyer - partnership agreement;2023-04-18;NULL;NULL;1;Startup;first_partnership;legal;2023-04;Legal;NULL;NULL
500067;2835.00;5100;lawyer call;2023-04-18;NULL;NULL;1;Startup;first_partnership;legal;2023-04;Legal;NULL;NULL
500048;210.00;2120;server;2023-04-19;NULL;NULL;1;Startup;first_partnership;hosting;2023-04;Software Engineering;NULL;NULL
500042;480.00;4200;packing materials for Northbridge;2023-04-20;NULL;NULL;1;Startup;first_partnership;logistics;2023-04;Logistics & Collections;NULL;NULL
500047;160.00;3100;museum outreach travel;2023-04-21;NULL;NULL;1;Startup;first_partnership;travel_partnerships;2023-04;Seller Partnerships;NULL;NULL
500052;2420.00;5100;lawyer call;2023-04-21;NULL;NULL;1;Startup;first_partnership;legal;2023-04;Legal;NULL;NULL
500044;435.00;4200;insurance quote consultation;2023-04-24;NULL;NULL;1;Startup;first_partnership;insurance;2023-04;Logistics & Collections;NULL;NULL
500064;180.00;4110;photographer for museum objects;2023-04-24;NULL;NULL;1;Startup;first_partnership;photography;2023-04;Provenance & Cataloguing;NULL;NULL
500060;1160.00;4200;Northbridge transport and handling;2023-04-26;NULL;NULL;1;Startup;first_partnership;logistics;2023-04;Logistics & Collections;NULL;NULL
500053;500.00;4110;photographer for museum objects;2023-04-28;NULL;NULL;1;Startup;first_partnership;photography;2023-04;Provenance & Cataloguing;NULL;NULL
500045;1260.00;5100;lawyer call;2023-04-29;NULL;NULL;1;Startup;first_partnership;legal;2023-04;Legal;NULL;NULL
500065;1285.00;4200;Northbridge insurance consultation;2023-04-29;NULL;NULL;1;Startup;first_partnership;insurance;2023-04;Logistics & Collections;NULL;NULL
500046;1081.11;3100;museum outreach travel;2023-05-01;NULL;NULL;1;Startup;first_partnership;travel_partnerships;2023-05;Seller Partnerships;NULL;NULL
500043;1025.00;2120;server;2023-05-02;NULL;NULL;1;Startup;first_partnership;hosting;2023-05;Software Engineering;NULL;NULL
500049;130.00;3100;museum outreach travel;2023-05-02;NULL;NULL;1;Startup;first_partnership;travel_partnerships;2023-05;Seller Partnerships;NULL;NULL
500056;315.00;4200;Northbridge visit - mileage + parking;2023-05-02;NULL;NULL;1;Startup;first_partnership;logistics;2023-05;Logistics & Collections;NULL;NULL
500057;1367.82;4200;Northbridge insurance consultation;2023-05-02;NULL;NULL;1;Startup;first_partnership;insurance;2023-05;Logistics & Collections;NULL;NULL
500051;320.00;4110;photographer for museum objects;2023-05-05;NULL;NULL;1;Startup;first_partnership;photography;2023-05;Provenance & Cataloguing;NULL;NULL
500054;650.00;2120;server;2023-05-05;NULL;NULL;1;Startup;first_partnership;hosting;2023-05;Software Engineering;NULL;NULL
500084;609.13;7200;launch social ads;2023-05-07;NULL;NULL;1;Startup;v1_launch;marketing;2023-05;Communications;NULL;NULL
500088;2960.00;5100;lawyer call;2023-05-08;NULL;NULL;1;Startup;v1_launch;legal;2023-05;Legal;NULL;NULL
500081;310.00;2120;server;2023-05-10;NULL;NULL;1;Startup;v1_launch;hosting;2023-05;Software Engineering;NULL;NULL
500083;700.00;6110;bookkeeping;2023-05-10;NULL;NULL;1;Startup;v1_launch;accounting;2023-05;Accounting & Treasury;NULL;NULL
500086;260.00;3100;museum outreach travel;2023-05-10;NULL;NULL;1;Startup;v1_launch;travel_partnerships;2023-05;Seller Partnerships;NULL;NULL
500091;2905.00;5100;lawyer call;2023-05-11;NULL;NULL;1;Startup;v1_launch;legal;2023-05;Legal;NULL;NULL
500074;2045.00;5100;lawyer call;2023-05-12;NULL;NULL;1;Startup;v1_launch;legal;2023-05;Legal;NULL;NULL
500069;1695.00;6120;reconciliation;2023-05-14;NULL;NULL;1;Startup;v1_launch;transaction_ops;2023-05;Transaction Operations;NULL;NULL
500077;300.00;3100;museum outreach travel;2023-05-15;NULL;NULL;1;Startup;v1_launch;travel_partnerships;2023-05;Seller Partnerships;NULL;NULL
500079;655.00;7200;Launch campaign - paid social;2023-05-15;NULL;NULL;1;Startup;v1_launch;marketing;2023-05;Communications;NULL;NULL
500068;390.00;6120;reconciliation;2023-05-16;NULL;NULL;1;Startup;v1_launch;transaction_ops;2023-05;Transaction Operations;NULL;NULL
500096;335.00;7200;promo design;2023-05-17;NULL;NULL;1;Startup;v1_launch;marketing;2023-05;Communications;NULL;NULL
500075;825.00;3100;museum outreach travel;2023-05-19;NULL;NULL;1;Startup;v1_launch;travel_partnerships;2023-05;Seller Partnerships;NULL;NULL
500090;300.00;7100;customer support;2023-05-19;NULL;NULL;1;Startup;v1_launch;client_support;2023-05;Client Services;NULL;NULL
500085;1355.00;5100;lawyer call;2023-05-22;NULL;NULL;1;Startup;v1_launch;legal;2023-05;Legal;NULL;NULL
500087;850.00;3100;museum outreach travel;2023-05-23;NULL;NULL;1;Startup;v1_launch;travel_partnerships;2023-05;Seller Partnerships;NULL;NULL
500093;190.00;7200;launch social ads;2023-05-23;NULL;NULL;1;Startup;v1_launch;marketing;2023-05;Communications;NULL;NULL
500094;175.00;7200;launch social ads;2023-05-24;NULL;NULL;1;Startup;v1_launch;marketing;2023-05;Communications;NULL;NULL
500072;765.00;6120;reconciliation;2023-05-25;NULL;NULL;1;Startup;v1_launch;transaction_ops;2023-05;Transaction Operations;NULL;NULL
500095;2135.00;4200;boxes for Northbridge;2023-05-25;NULL;NULL;1;Startup;v1_launch;logistics;2023-05;Logistics & Collections;NULL;NULL
500070;180.00;2120;server;2023-05-26;NULL;NULL;1;Startup;v1_launch;hosting;2023-05;Software Engineering;NULL;NULL
500082;1345.00;7200;launch social ads;2023-05-29;NULL;NULL;1;Startup;v1_launch;marketing;2023-05;Communications;NULL;NULL
500078;225.00;2120;server;2023-05-30;NULL;NULL;1;Startup;v1_launch;hosting;2023-05;Software Engineering;NULL;NULL
500080;2335.00;5100;lawyer call;2023-05-30;NULL;NULL;1;Startup;v1_launch;legal;2023-05;Legal;NULL;NULL
500073;70.00;7200;launch social ads;2023-05-31;NULL;NULL;1;Startup;v1_launch;marketing;2023-05;Communications;NULL;NULL
500076;4610.00;7200;promo design;2023-05-31;NULL;NULL;1;Startup;v1_launch;marketing;2023-05;Communications;NULL;NULL
500071;720.00;3100;museum outreach travel;2023-06-01;NULL;NULL;1;Startup;v1_launch;travel_partnerships;2023-06;Seller Partnerships;NULL;NULL
500089;360.00;2120;server;2023-06-01;NULL;NULL;1;Startup;v1_launch;hosting;2023-06;Software Engineering;NULL;NULL
500092;450.00;3100;museum outreach travel;2023-06-01;NULL;NULL;1;Startup;v1_launch;travel_partnerships;2023-06;Seller Partnerships;NULL;NULL
500097;760.00;6120;reconciliation;2023-06-01;NULL;NULL;1;Startup;v1_launch;transaction_ops;2023-06;Transaction Operations;NULL;NULL
500101;290.00;6110;bookkeeping;2023-06-02;NULL;NULL;1;Startup;incorporation;accounting;2023-06;Accounting & Treasury;NULL;NULL
500104;2170.00;5100;lawyer call;2023-06-05;NULL;NULL;1;Startup;incorporation;legal;2023-06;Legal;NULL;NULL
500110;420.00;4200;insurance quote consultation;2023-06-06;NULL;NULL;1;Startup;incorporation;insurance;2023-06;Logistics & Collections;NULL;NULL
500107;410.00;1100;Corporate filing fees;2023-06-07;NULL;NULL;1;Startup;incorporation;corporate;2023-06;Executive Office;NULL;NULL
500106;2185.00;4200;insurance quote consultation;2023-06-12;NULL;NULL;1;Startup;incorporation;insurance;2023-06;Logistics & Collections;NULL;NULL
500108;662.80;1100;registered agent setup;2023-06-12;NULL;NULL;1;Startup;incorporation;corporate;2023-06;Executive Office;NULL;NULL
500109;500.00;6110;bookkeeping;2023-06-12;NULL;NULL;1;Startup;incorporation;accounting;2023-06;Accounting & Treasury;NULL;NULL
500102;90.60;1100;Corporate filing fees;2023-06-13;NULL;NULL;1;Startup;incorporation;corporate;2023-06;Executive Office;NULL;NULL
500103;2850.00;1100;Corporate filing fees;2023-06-14;NULL;NULL;1;Startup;incorporation;corporate;2023-06;Executive Office;NULL;NULL
500099;165.00;2120;dev tools;2023-06-16;NULL;NULL;1;Startup;incorporation;software;2023-06;Software Engineering;NULL;NULL
500100;480.00;6110;bookkeeping;2023-06-16;NULL;NULL;1;Startup;incorporation;accounting;2023-06;Accounting & Treasury;NULL;NULL
500098;120.00;2120;dev tools;2023-06-19;NULL;NULL;1;Startup;incorporation;software;2023-06;Software Engineering;NULL;NULL
500105;884.51;4200;insurance quote consultation;2023-06-19;NULL;NULL;1;Startup;incorporation;insurance;2023-06;Logistics & Collections;NULL;NULL
500139;1162.47;6200;employee setup;2023-06-20;NULL;NULL;2;Growth;accelerator_seed;onboarding;2023-06;People & Workplace;NULL;NULL
500124;1970.00;2120;laptop / gear;2023-06-21;NULL;NULL;2;Growth;accelerator_seed;hardware;2023-06;Software Engineering;NULL;NULL
500118;823.03;7200;launch social ads;2023-06-22;NULL;NULL;2;Growth;accelerator_seed;marketing;2023-06;Communications;NULL;NULL
500130;5117.14;7200;launch social ads;2023-06-22;NULL;NULL;2;Growth;accelerator_seed;marketing;2023-06;Communications;NULL;NULL
500153;370.00;2120;server;2023-06-22;NULL;NULL;2;Growth;accelerator_seed;hosting;2023-06;Software Engineering;NULL;NULL
500145;2160.00;2120;laptop / gear;2023-06-23;23062301;23062302;2;Growth;accelerator_seed;hardware;2023-06;Software Engineering;Caesar Vallelonga;Bob Andrews
500128;540.00;3100;museum outreach travel;2023-06-26;23062301;23062302;2;Growth;accelerator_seed;travel_partnerships;2023-06;Seller Partnerships;Caesar Vallelonga;Bob Andrews
500113;6490.00;5100;lawyer call;2023-06-27;23062301;23062302;2;Growth;accelerator_seed;legal;2023-06;Legal;Caesar Vallelonga;Bob Andrews
500117;2764.32;2120;laptop / gear;2023-06-27;23062302;NULL;2;Growth;accelerator_seed;hardware;2023-06;Software Engineering;Bob Andrews;NULL
500122;640.00;6200;employee setup;2023-06-27;23062302;23062301;2;Growth;accelerator_seed;onboarding;2023-06;People & Workplace;Bob Andrews;Caesar Vallelonga
500119;3258.33;7200;launch social ads;2023-06-28;23062301;23062302;2;Growth;accelerator_seed;marketing;2023-06;Communications;Caesar Vallelonga;Bob Andrews
500121;761.95;2120;laptop / gear;2023-06-28;23062301;23062302;2;Growth;accelerator_seed;hardware;2023-06;Software Engineering;Caesar Vallelonga;Bob Andrews
500143;580.00;2120;dev tools;2023-06-28;23062302;23062301;2;Growth;accelerator_seed;software;2023-06;Software Engineering;Bob Andrews;Caesar Vallelonga
500148;371.36;2120;dev tools;2023-06-28;23062302;23062301;2;Growth;accelerator_seed;software;2023-06;Software Engineering;Bob Andrews;Caesar Vallelonga
500141;840.00;3100;museum outreach travel;2023-06-29;23062301;NULL;2;Growth;accelerator_seed;travel_partnerships;2023-06;Seller Partnerships;Caesar Vallelonga;NULL
500151;1950.28;6200;employee setup;2023-06-29;23062301;23062302;2;Growth;accelerator_seed;onboarding;2023-06;People & Workplace;Caesar Vallelonga;Bob Andrews
500116;991.91;6200;recruiter;2023-06-30;23062301;23062302;2;Growth;accelerator_seed;recruiting;2023-06;People & Workplace;Caesar Vallelonga;Bob Andrews
500127;1282.76;6110;bookkeeping;2023-06-30;23062301;23062302;2;Growth;accelerator_seed;accounting;2023-06;Accounting & Treasury;Caesar Vallelonga;Bob Andrews
500126;1390.00;3100;museum outreach travel;2023-07-03;23062301;23062302;2;Growth;accelerator_seed;travel_partnerships;2023-07;Seller Partnerships;Caesar Vallelonga;Bob Andrews
500155;2130.00;5100;lawyer call;2023-07-03;NULL;23062301;2;Growth;accelerator_seed;legal;2023-07;Legal;NULL;Caesar Vallelonga
500134;830.00;6200;employee setup;2023-07-04;23070303;23062301;2;Growth;accelerator_seed;onboarding;2023-07;People & Workplace;Paris Morgan;Caesar Vallelonga
500136;100.00;2120;dev tools;2023-07-04;23062302;23070303;2;Growth;accelerator_seed;software;2023-07;Software Engineering;Bob Andrews;Paris Morgan
500140;1690.00;2120;laptop / gear;2023-07-04;23062302;23062301;2;Growth;accelerator_seed;hardware;2023-07;Software Engineering;Bob Andrews;Caesar Vallelonga
500147;927.98;3100;museum outreach travel;2023-07-04;23062301;23070303;2;Growth;accelerator_seed;travel_partnerships;2023-07;Seller Partnerships;Caesar Vallelonga;Paris Morgan
500114;1260.00;2120;server;2023-07-05;23062302;23070303;2;Growth;accelerator_seed;hosting;2023-07;Software Engineering;Bob Andrews;Paris Morgan
500135;1540.00;2120;server;2023-07-05;23062302;23062301;2;Growth;accelerator_seed;hosting;2023-07;Software Engineering;Bob Andrews;Caesar Vallelonga
500131;300.00;2120;dev tools;2023-07-06;23062302;23070303;2;Growth;accelerator_seed;software;2023-07;Software Engineering;Bob Andrews;Paris Morgan
500146;820.00;3100;museum outreach travel;2023-07-06;23062301;23070303;2;Growth;accelerator_seed;travel_partnerships;2023-07;Seller Partnerships;Caesar Vallelonga;Paris Morgan
500111;1040.00;2120;server;2023-07-07;23062301;23062302;2;Growth;accelerator_seed;hosting;2023-07;Software Engineering;Caesar Vallelonga;Bob Andrews
500115;1320.00;2120;laptop / gear;2023-07-07;NULL;NULL;2;Growth;accelerator_seed;hardware;2023-07;Software Engineering;NULL;NULL
500142;6240.00;7200;launch social ads;2023-07-07;23070303;23062301;2;Growth;accelerator_seed;marketing;2023-07;Communications;Paris Morgan;Caesar Vallelonga
500150;3000.00;6200;recruiter;2023-07-07;23070303;23062302;2;Growth;accelerator_seed;recruiting;2023-07;People & Workplace;Paris Morgan;Bob Andrews
500154;2320.00;5100;lawyer call;2023-07-07;23070303;23062302;2;Growth;accelerator_seed;legal;2023-07;Legal;Paris Morgan;Bob Andrews
500133;4020.00;7200;launch social ads;2023-07-08;23070303;23062301;2;Growth;accelerator_seed;marketing;2023-07;Communications;Paris Morgan;Caesar Vallelonga
500137;1340.00;3100;museum outreach travel;2023-07-08;23062301;NULL;2;Growth;accelerator_seed;travel_partnerships;2023-07;Seller Partnerships;Caesar Vallelonga;NULL
500112;2020.00;2120;server;2023-07-11;23062302;23070303;2;Growth;accelerator_seed;hosting;2023-07;Software Engineering;Bob Andrews;Paris Morgan
500138;2320.00;2120;laptop / gear;2023-07-11;23062301;23070303;2;Growth;accelerator_seed;hardware;2023-07;Software Engineering;Caesar Vallelonga;Paris Morgan
500120;630.00;6200;employee setup;2023-07-12;23070303;23062301;2;Growth;accelerator_seed;onboarding;2023-07;People & Workplace;Paris Morgan;Caesar Vallelonga
500149;1820.00;7200;launch social ads;2023-07-12;23070303;23062302;2;Growth;accelerator_seed;marketing;2023-07;Communications;Paris Morgan;Bob Andrews
500125;2250.00;6110;bookkeeping;2023-07-13;23062301;23062302;2;Growth;accelerator_seed;accounting;2023-07;Accounting & Treasury;Caesar Vallelonga;Bob Andrews
500144;450.76;3100;museum outreach travel;2023-07-13;23062301;23070303;2;Growth;accelerator_seed;travel_partnerships;2023-07;Seller Partnerships;Caesar Vallelonga;Paris Morgan
500129;740.00;6110;bookkeeping;2023-07-15;23062301;23070303;2;Growth;accelerator_seed;accounting;2023-07;Accounting & Treasury;Caesar Vallelonga;Paris Morgan
500132;1116.30;6200;recruiter;2023-07-15;23070303;23062302;2;Growth;accelerator_seed;recruiting;2023-07;People & Workplace;Paris Morgan;Bob Andrews
500123;70.00;2120;dev tools;2023-07-17;NULL;NULL;2;Growth;accelerator_seed;software;2023-07;Software Engineering;NULL;NULL
500152;600.00;2120;server;2023-07-17;23062302;NULL;2;Growth;accelerator_seed;hosting;2023-07;Software Engineering;Bob Andrews;NULL
500169;1564.25;6200;recruiter;2023-07-19;23070303;23062301;2;Growth;second_listing;recruiting;2023-07;People & Workplace;Paris Morgan;Caesar Vallelonga
500178;110.00;2120;dev tools;2023-07-19;23062302;NULL;2;Growth;second_listing;software;2023-07;Software Engineering;Bob Andrews;NULL
500197;3275.57;5100;lawyer call;2023-07-19;23070303;23062302;2;Growth;second_listing;legal;2023-07;Legal;Paris Morgan;Bob Andrews
500164;1140.00;4200;insurance quote consultation;2023-07-21;23062301;23062302;2;Growth;second_listing;insurance;2023-07;Logistics & Collections;Caesar Vallelonga;Bob Andrews
500168;1990.00;3100;museum outreach travel;2023-07-21;23062301;23070303;2;Growth;second_listing;travel_partnerships;2023-07;Seller Partnerships;Caesar Vallelonga;Paris Morgan
500182;2900.00;6200;recruiter;2023-07-21;23070303;NULL;2;Growth;second_listing;recruiting;2023-07;People & Workplace;Paris Morgan;NULL
500187;760.00;4200;boxes for Northbridge;2023-07-21;23062301;23070303;2;Growth;second_listing;logistics;2023-07;Logistics & Collections;Caesar Vallelonga;Paris Morgan
500196;5892.97;4200;insurance quote consultation;2023-07-22;23062301;23070303;2;Growth;second_listing;insurance;2023-07;Logistics & Collections;Caesar Vallelonga;Paris Morgan
500166;3020.00;4200;boxes for Northbridge;2023-07-24;23062301;23062302;2;Growth;second_listing;logistics;2023-07;Logistics & Collections;Caesar Vallelonga;Bob Andrews
500198;4413.43;7200;launch social ads;2023-07-24;23070303;23062302;2;Growth;second_listing;marketing;2023-07;Communications;Paris Morgan;Bob Andrews
500161;660.00;3100;museum outreach travel;2023-07-25;23062301;23070303;2;Growth;second_listing;travel_partnerships;2023-07;Seller Partnerships;Caesar Vallelonga;Paris Morgan
500209;654.29;2120;server;2023-07-25;23062301;23070303;2;Growth;second_listing;hosting;2023-07;Software Engineering;Caesar Vallelonga;Paris Morgan
500162;1180.00;3100;museum outreach travel;2023-07-26;23062301;23070303;2;Growth;second_listing;travel_partnerships;2023-07;Seller Partnerships;Caesar Vallelonga;Paris Morgan
500208;1408.59;5100;lawyer call;2023-07-26;23062301;23070303;2;Growth;second_listing;legal;2023-07;Legal;Caesar Vallelonga;Paris Morgan
500210;840.00;3100;museum outreach travel;2023-07-26;23062301;23062302;2;Growth;second_listing;travel_partnerships;2023-07;Seller Partnerships;Caesar Vallelonga;Bob Andrews
500157;1830.00;6200;recruiter;2023-07-27;23070303;23062301;2;Growth;second_listing;recruiting;2023-07;People & Workplace;Paris Morgan;Caesar Vallelonga
500195;110.00;2120;server;2023-07-27;23062301;23070303;2;Growth;second_listing;hosting;2023-07;Software Engineering;Caesar Vallelonga;Paris Morgan
500202;4960.00;4200;insurance quote consultation;2023-07-28;23062301;NULL;2;Growth;second_listing;insurance;2023-07;Logistics & Collections;Caesar Vallelonga;NULL
500171;80.00;2120;dev tools;2023-07-29;23062302;23070303;2;Growth;second_listing;software;2023-07;Software Engineering;Bob Andrews;Paris Morgan
500186;2180.00;2120;server;2023-07-31;23062301;NULL;2;Growth;second_listing;hosting;2023-07;Software Engineering;Caesar Vallelonga;NULL
500156;640.54;2120;server;2023-08-01;23062302;23062301;2;Growth;second_listing;hosting;2023-08;Software Engineering;Bob Andrews;Caesar Vallelonga
500188;480.00;4120;condition check;2023-08-01;23062301;23062302;2;Growth;second_listing;valuation;2023-08;Valuation & Condition;Caesar Vallelonga;Bob Andrews
500189;880.00;2120;server;2023-08-01;NULL;23062301;2;Growth;second_listing;hosting;2023-08;Software Engineering;NULL;Caesar Vallelonga
500200;3000.00;4200;insurance quote consultation;2023-08-02;23062301;23062302;2;Growth;second_listing;insurance;2023-08;Logistics & Collections;Caesar Vallelonga;Bob Andrews
500193;3250.00;4120;condition check;2023-08-03;23062301;23062302;2;Growth;second_listing;valuation;2023-08;Valuation & Condition;Caesar Vallelonga;Bob Andrews
500176;3582.58;4200;boxes for Northbridge;2023-08-04;23062301;23062302;2;Growth;second_listing;logistics;2023-08;Logistics & Collections;Caesar Vallelonga;Bob Andrews
500206;1100.00;3100;museum outreach travel;2023-08-04;23062301;23062302;2;Growth;second_listing;travel_partnerships;2023-08;Seller Partnerships;Caesar Vallelonga;Bob Andrews
500158;10400.00;6200;recruiter;2023-08-05;23070303;23062302;2;Growth;second_listing;recruiting;2023-08;People & Workplace;Paris Morgan;Bob Andrews
500181;14510.00;4200;insurance quote consultation;2023-08-07;23062301;23070303;2;Growth;second_listing;insurance;2023-08;Logistics & Collections;Caesar Vallelonga;Paris Morgan
500183;16450.00;6200;recruiter;2023-08-07;23070303;23062301;2;Growth;second_listing;recruiting;2023-08;People & Workplace;Paris Morgan;Caesar Vallelonga
500190;1530.00;4120;condition check;2023-08-07;23062301;23062302;2;Growth;second_listing;valuation;2023-08;Valuation & Condition;Caesar Vallelonga;Bob Andrews
500192;2980.00;4200;boxes for Northbridge;2023-08-07;23062301;23070303;2;Growth;second_listing;logistics;2023-08;Logistics & Collections;Caesar Vallelonga;Paris Morgan
500175;2240.00;7200;launch social ads;2023-08-08;23070303;23062301;2;Growth;second_listing;marketing;2023-08;Communications;Paris Morgan;Caesar Vallelonga
500201;510.00;2120;dev tools;2023-08-08;23062301;23070303;2;Growth;second_listing;software;2023-08;Software Engineering;Caesar Vallelonga;Paris Morgan
500179;4163.30;4200;boxes for Northbridge;2023-08-09;23062301;23070303;2;Growth;second_listing;logistics;2023-08;Logistics & Collections;Caesar Vallelonga;Paris Morgan
500180;2500.00;4120;condition check;2023-08-09;23062301;23070303;2;Growth;second_listing;valuation;2023-08;Valuation & Condition;Caesar Vallelonga;Paris Morgan
500185;240.00;2120;dev tools;2023-08-10;23062302;23070303;2;Growth;second_listing;software;2023-08;Software Engineering;Bob Andrews;Paris Morgan
500207;760.00;2120;dev tools;2023-08-10;23062302;23062301;2;Growth;second_listing;software;2023-08;Software Engineering;Bob Andrews;Caesar Vallelonga
500159;190.00;3100;museum outreach travel;2023-08-11;23062301;23062302;2;Growth;second_listing;travel_partnerships;2023-08;Seller Partnerships;Caesar Vallelonga;Bob Andrews
